用户昵称,评级,评论时间,评论内容（短评）,具体评论链接,点赞数,点踩数,回复数
月遇,很差,2020-10-03 16:11:29,不说封神演义原著里面人物关系和故事核心，就单单说元始天尊和封神榜来说，封神榜并不是封神用的，不是荣耀，而是牢笼，入了封神榜就是不生不死，永为囚徒。 而封神之战的元始天尊那可是三圣之一，诸天之源！！什么姜子牙，什么九尾狐，什么众生，都不过是棋子！ 最后用六学家...,https://movie.douban.com/review/12890649/,8,4,3
蓝野,推荐,2020-10-02 13:21:39,申公豹是非常简单且重义气的人，凭着对强者的崇拜，便坚定地选择了追随和守护，最后不惜付出生命代价。 冤魂是苍生，小九是苍生代表，对家庭圆满的期盼，对安稳日子的向往，都是一颗朴素的凡者心。 姜子牙的天问，反抗天反抗地反抗神，一是为自己，心中的正气与苦苦求索的真相...,https://movie.douban.com/review/12888190/,2,,4
漫步天空,较差,2020-10-02 12:56:19,感觉姜子牙这种电影才是国产片的常态，完全不值得一看。大圣归来和哪吒是异类，可不是年年都有的。我后来想了一下，剧情应该怎么改。 1. 配音差。姜子牙跟快死了一样，说话有进的气没出的气，毫无感情。摆着一张死人脸给谁看呢？ 2. 造型差。人物头发和橡皮泥一样，苏妲己头上...,https://movie.douban.com/review/12888142/,11,1,12
Eudemonia_cici,力荐,2020-10-01 23:07:32,我很喜欢。 一位理想主义者追随内心正义反对权威体制，且最终撼动了权威体制的神话故事，集中探讨了电车难题，且具有反战内核。 1.“是神，是妖，是人，不可欺，不可操纵，不可不救”，斩断天梯，斩断权力的宿命锁，撼动体制，避免至高无上的权力左右他人的人生，权威体制这个...,https://movie.douban.com/review/12886947/,1,,0
mxh第一开锁匠,推荐,2020-10-01 11:40:12,十分制打分，剧情给6.5分，特效给8分，剧情比较《哪吒》8分，《大鱼海棠》3.5分。 综合起来感觉7.5分比较合适 推荐:特别在意剧情的可以不看，综合故事和特效可以看一看，画面真的很美。 因为姜子牙迟迟不敢提前点映，我就特别怕遇上《大鱼海棠》2.0，好在没有被欺诈，整个故事...,https://movie.douban.com/review/12885327/,21,5,12
莫空,较差,2020-10-09 12:19:48,1。静态画面5星 每一个场景都很震撼，都是壁纸级别。但这也是这个电影唯一的亮点。 2动态画面3.5星 原画做得好不代表动画效果好，连贯的动作，好的动态细节才是否则就是美轮美奂的ppt。上映前极力宣传1600个人动画团队就做出来这个？感情1600个人全是画2d静态画的？师尊不会动...,https://movie.douban.com/review/12901450/,6,,0
布卤,推荐,2020-10-07 13:15:59,看过这部动画片之后，我觉得主要角色和一些人物关系究竟是怎样的应该明确一下 1、姜子牙：姜子牙不是神。 《封神演义》虽然是一部神怪小说，但姜子牙在里面并非神仙。他是昆仑山玉虚宫元始天尊的弟子。在山上修行几十年，但碍于天资、命格，难以成仙，只能享受人间之福。于是元...,https://movie.douban.com/review/12898600/,19,,1
关雅荻,,2020-10-06 23:34:38,你是否会“为一善而叛苍生”？ 你是否会唤醒自我意识的觉醒而斩断不对等生杀予夺权力的锁链？ 《姜子牙》如果超大范围的“看不懂”是真的，如果很多人看懂了，却不知用什么样合适的表达来彼此交流，在我看来就是一个悲剧。。。 原来人真的是可以向某方面“退化”的。。。 这是...,https://movie.douban.com/review/12897950/,3,,0
crascopy,推荐,2020-10-06 23:10:22,纯属短评写不下了，没想写长评... 79/100 看到网上铺天盖地讨论电车问题，还有骂三观不正，其实挺懵的。 我之前一直疑惑这片到底是想表达&lt;救一人还是救苍生的电车难题&gt;还是&lt;桶制者的邪恶阴谋&gt;，最后的结论是：按剧本独立分析应该是后者，但导演自己可能都没理解自...,https://movie.douban.com/review/12897895/,3,1,0
#今天肥宅了吗#,还行,2020-10-04 21:55:17,说得刻薄与夸张一些，自2015年《大圣归来》以降，五年来我们都看着一模一样的中国动画。囿于民族文化、渊源与传统，创作者们无一不在身份的认同与演绎中原地踏步。 认同：认同本身即焦虑 从《大圣归来》到《哪吒》再到如今的《姜子牙》，所有的中国动画电影无一例外地从传统文...,https://movie.douban.com/review/12893333/,9,,2
Devil,力荐,2020-10-04 21:42:25,国庆上映的姜子牙今日成为了票房冠军，但口碑却备受争议，豆瓣评分也一直下降。我本人也去看了姜子牙，还参与了二刷。 我个人认为姜子牙就是一部好电影，我不管外界怎么评价。 很多人喜欢把姜子牙与哪吒做比较，吐槽姜子牙太深沉，没有笑点，小孩去看嫌无聊。我真的想吐槽吐回...,https://movie.douban.com/review/12893307/,4,1,0
何志武,,2020-10-04 01:23:13,首先画面就值得我们去影院看，如果你是动漫爱好者甚至值得多刷。 槽点都在剧情和节奏上，浅谈几点： 武王伐纣，伤亡无数，子牙不愿舍一人救天下这一执念要如何体现？为何唯独到了九尾这里，师尊说了是幻术，子牙也不太清楚到底是不是幻术，就将九尾救下呢？他就不怕九尾继续为...,https://movie.douban.com/review/12891863/,1,,0
屁屁,还行,2020-10-03 18:53:39,昨天才去看了姜子牙，说实话前面两天已经看到在朋友圈各种吐槽姜子牙的，什么睡得很香甜了，国庆别把时间浪费在这种垃圾电影上之类的； 因为没有征得对方同意，我把名字马了哈； 然后我又转身去看了看灯塔数据，票房虽然是冠军，在微博也宣传了，说是单日票房赢过《哪吒》，但...,https://movie.douban.com/review/12890923/,5,,3
韦斯安徒生,还行,2020-10-02 23:30:39,批评《姜子牙》，至少得要在看懂了的基础上吧。 要“看懂”，首先要达成一个共识，这是一部寓言式的政治惊悚片，至少主创是这样表达的。 神，就是掌权者的代名词。 师尊，即是掌权者。 姜子牙，是体制内的理想主义者，封神榜“吹哨人”。 师尊让姜子牙斩狐妖，是让他斩断善恶观...,https://movie.douban.com/review/12889506/,18,1,1
小A,推荐,2020-10-01 19:39:28,《封神演义》《山海经》故事新编 动画电影《姜子牙》借鉴了中国古典名著《封神演义》的故事基础，《封神演义》为读者描绘了跌宕起伏的封神大战，影片《姜子牙》开头快速介绍原著封神大战梗概，然后进入正题，讲述封神之后姜子牙揭露大战背后阴谋的故事。 《封神演义》中有不少...,https://movie.douban.com/review/12886316/,219,3,6
何清浅,还行,2020-10-01 15:17:19,一开始我居然是冲着郑希大大的配音去的。以及季冠霖小姐姐配音时候应该觉得非常爽。看电影之前我全当时宸汐缘的动画片番外了。 然后看完了以后，这不就是和宸汐缘的故事很像？男女主配音都一样？果真是番外。但是讲得还不如宸汐缘好看。 电影讲了俩事，第一，舍弃一人救苍生还...,https://movie.douban.com/review/12885707/,16,,15
秦艽,推荐,2020-10-09 19:53:59,说真的，看片之前我其实看了一些周围朋友友邻的影评，其实期待不大。 在国庆假期的尾巴领了支付宝的观影卷，优惠后，不到20元在一个偏僻的小破奥斯卡看了姜子牙，尽管观影环境不佳，没想到最后影片带来的体会还不错，让我有所思考，有所收获，挺好。 首先是人物的设定 师尊这个...,https://movie.douban.com/review/12901894/,1,,0
聆雨子,还行,2020-10-07 18:31:13,一年多前，《哪吒之魔童降世》火遍全网时，我写过： 此刻我愿意相信，如果我们真的能在银幕上复活属于华夏的神谱，那孙悟空和哪吒，也许就相当于我们的钢铁侠与美国队长；《西游记》和《封神演义》，也许就相当于我们的《复仇者联盟》与《X战警》。 一个人还不足以撑起一个宇宙...,https://movie.douban.com/review/12899034/,1,,0
Aurora,力荐,2020-10-07 16:45:00,因为没有在上映的第一时间看这部影片的结果就是，反复在热搜上看到票房的消息，与此同时也看到了褒贬不一的评价，这让我看之前有些紧张，担心自己是看得懂还是看不懂。大概看到20分钟的时候，我就知道自己已经值回电影票了。最明显的亮点就是它的动画特效，我觉得很像山海经的...,https://movie.douban.com/review/12898856/,1,,0
